station_id,station_name,latitude,longitude,malecount,femalecount,SUM,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100,age101,age20m,age20f,age25m,age25f,age30m,age30f,age35m,age35f,age40m,age40f,age45m,age45f,age50m,age50f,age55m,age55f,age60m,age60f,age65m,age65f,age70m,age70f,age75m,age75f,age80m,age80f,age85m,age85f,age90m,age90f,age95m,age95f,age100m,age100f,age101m,age101f
116,W 17 St & 8 Ave,40.74177603,-74.00149746,67911,19106,93199,785,4596,15458,17295,14761,10351,9108,7027,5519,1575,475,281,32,0,9,10,0,5926,543,242,3061,1535,11024,4424,12938,4345,12073,2447,9004,1347,7273,1835,5692,1330,4422,1097,1221,354,369,106,268,13,10,22,0,0,0,9,0,9,0,0,12,0
119,Park Ave & St Edwards St,40.69608941,-73.97803415,2360,616,3543,0,286,567,258,313,617,128,235,363,197,9,0,3,0,0,0,0,566,0,0,241,45,236,331,175,82,290,23,605,12,90,38,171,64,344,19,196,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,6183,2430,9518,10,346,2305,1710,1700,987,732,76,258,414,78,2,0,0,0,0,0,900,8,0,248,98,1682,623,1226,483,1200,499,846,138,472,260,56,20,32,226,402,12,8,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Barrow St & Hudson St,40.73172428,-74.00674436,80613,27088,117828,1757,6050,18719,20144,15691,12160,12216,9539,5935,3186,1713,467,139,4,7,7,0,10101,1571,186,4367,1683,13089,5608,14253,5884,11966,3720,9977,2183,9640,2576,7170,2369,4131,1804,2298,888,1554,159,446,21,138,0,4,0,0,6,0,6,0,0,8,0
128,MacDougal St & Prince St,40.72710258,-74.00297088,60478,20595,89351,582,4361,18272,18658,10438,7785,7730,5195,3440,2869,1367,476,10,4,0,0,0,8161,544,38,2648,1712,12986,5282,13730,4920,8339,2097,6226,1559,6066,1663,3992,1201,2525,817,2022,847,1023,342,359,117,10,0,4,0,0,0,0,0,0,0,0,0
137,E 56 St & Madison Ave,40.761628,-73.972924,30978,5474,42438,72,1344,5202,6647,6151,5450,4461,3756,1944,1107,243,63,25,0,0,0,0,5971,52,19,1000,344,4103,1098,5434,1209,5091,1056,4944,505,4118,341,3237,519,1666,276,1035,72,226,17,48,15,24,0,0,0,0,0,0,0,0,0,0,0
143,Clinton St & Joralemon St,40.69239502,-73.99337909,13681,4122,20112,69,660,2373,3282,4510,2117,1621,1760,835,256,138,183,4,0,0,0,0,2304,53,14,490,170,1633,738,2224,1058,3512,997,1827,290,1285,335,1464,296,677,158,219,37,112,26,183,0,0,3,0,0,0,0,0,0,0,0,0,0
144,Nassau St & Navy St,40.69839895,-73.98068914,4068,1717,9984,20,568,1309,1165,1189,365,388,290,274,193,29,3,6,0,0,0,0,4185,17,2,324,241,855,451,741,419,952,237,302,63,257,129,234,56,239,35,110,83,28,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0
146,Hudson St & Reade St,40.71625008,-74.0091059,29924,10731,44957,459,1765,5011,6401,5543,5393,5256,4506,3693,1751,671,225,16,0,0,0,0,4265,326,133,1240,525,3431,1567,4509,1873,4190,1348,4141,1252,4012,1244,3272,1234,2816,873,1290,461,460,211,217,8,14,2,0,0,0,0,0,0,0,0,4,0
147,Greenwich St & Warren St,40.71542197,-74.01121978,61573,22509,93608,762,3924,10669,14069,13346,11250,11245,8639,5407,3022,1435,293,77,3,0,0,0,9467,573,189,2830,1093,7595,3072,10140,3917,10235,3101,8403,2847,8644,2562,6400,2237,3189,2218,2169,853,1035,400,275,18,77,0,2,0,0,0,0,0,0,0,6,0
